name,position,overall rating,club,country,defending rating,def_awareness_rating,interceptions,url,comp
Ko Itakura,CB,74,M'gladbach,Japan,76,74,78,https://www.futbin.com/22/player/26495/ko-itakura,FIFA Men's World Cup
Randal Kolo Muani,ST,74,Frankfurt,France,31,28,22,https://www.futbin.com/22/player/26499/randal-kolo-muani,FIFA Men's World Cup
Aurélio Gabriel Ulineia Buta,RB,74,Frankfurt,Portugal,66,67,67,https://www.futbin.com/22/player/26503/aurelio-buta,FIFA Men's World Cup
Jonjoe Kenny,RB,74,Hertha Berlin,England,71,68,74,https://www.futbin.com/22/player/26534/jonjoe-kenny,FIFA Men's World Cup
Ermedin Demirovic,ST,74,FC Augsburg,Bosnia and Herzegovina,37,48,23,https://www.futbin.com/22/player/26552/ermedin-demirovic,FIFA Men's World Cup
Sargis Adamyan,CAM,74,1. FC Köln,Armenia,37,53,22,https://www.futbin.com/22/player/26607/sargis-adamyan,FIFA Men's World Cup
Anthony Caci,LB,74,1. FSV Mainz 05,France,72,72,74,https://www.futbin.com/22/player/26641/anthony-caci,FIFA Men's World Cup
Saidy Janko,RB,74,VfL Bochum,Switzerland,68,64,70,https://www.futbin.com/22/player/26776/saidy-janko,FIFA Men's World Cup
Philipp Pentke,GK,73,TSG Hoffenheim,Germany,19,17,15,https://www.futbin.com/22/player/1221/philipp-pentke,FIFA Men's World Cup
Tobias Sippel,GK,73,M'gladbach,Germany,14,12,15,https://www.futbin.com/22/player/1549/tobias-sippel,FIFA Men's World Cup
Håvard Nordtveit,CB,73,TSG Hoffenheim,Norway,74,73,73,https://www.futbin.com/22/player/1738/havard-nordtveit,FIFA Men's World Cup
Tony Jantschke,CB,73,M'gladbach,Germany,75,75,79,https://www.futbin.com/22/player/2261/tony-jantschke,FIFA Men's World Cup
Manuel Gulde,CB,73,SC Freiburg,Germany,74,75,74,https://www.futbin.com/22/player/2290/manuel-gulde,FIFA Men's World Cup
Daniel Ginczek,ST,73,VfL Wolfsburg,Germany,38,30,29,https://www.futbin.com/22/player/2428/daniel-ginczek,FIFA Men's World Cup
Fabian Klos,ST,73,Bielefeld,Germany,39,45,29,https://www.futbin.com/22/player/2458/fabian-klos,FIFA Men's World Cup
Daniel Didavi,CAM,73,VfB Stuttgart,Germany,49,36,49,https://www.futbin.com/22/player/2598/daniel-didavi,FIFA Men's World Cup
Stefan Ilsanker,CB,73,Frankfurt,Austria,73,72,72,https://www.futbin.com/22/player/2646/stefan-ilsanker,FIFA Men's World Cup
Alfreð Finnbogason,ST,73,FC Augsburg,Iceland,33,30,20,https://www.futbin.com/22/player/2701/alfre-finnbogason,FIFA Men's World Cup
Simon Zoller,ST,73,VfL Bochum,Germany,39,45,24,https://www.futbin.com/22/player/3336/simon-zoller,FIFA Men's World Cup
Timmy Chandler,RM,73,Frankfurt,United States,72,71,68,https://www.futbin.com/22/player/3342/timmy-chandler,FIFA Men's World Cup
Kevin Stöger,CM,73,1. FSV Mainz 05,Austria,41,38,49,https://www.futbin.com/22/player/3640/kevin-stoger,FIFA Men's World Cup
Stefanos Kapino,GK,73,Bielefeld,Greece,16,24,14,https://www.futbin.com/22/player/3827/stefanos-kapino,FIFA Men's World Cup
Branimir Hrgota,ST,73,Greuther Fürth,Sweden,27,22,17,https://www.futbin.com/22/player/4213/branimir-hrgota,FIFA Men's World Cup
Louis Schaub,CAM,73,1. FC Köln,Austria,42,45,38,https://www.futbin.com/22/player/4338/louis-schaub,FIFA Men's World Cup
Joakim Nilsson,CB,73,Bielefeld,Sweden,74,76,71,https://www.futbin.com/22/player/4386/joakim-nilsson,FIFA Men's World Cup
Kevin Möhwald,CM,73,Union Berlin,Germany,64,70,60,https://www.futbin.com/22/player/4543/kevin-mohwald,FIFA Men's World Cup
Janik Haberer,CM,73,SC Freiburg,Germany,62,59,71,https://www.futbin.com/22/player/4559/janik-haberer,FIFA Men's World Cup
Christopher Lenz,LB,73,Frankfurt,Germany,72,74,73,https://www.futbin.com/22/player/4641/christopher-lenz,FIFA Men's World Cup
Paul Seguin,CM,73,Greuther Fürth,Germany,68,69,69,https://www.futbin.com/22/player/5825/paul-seguin,FIFA Men's World Cup
Jacob Bruun Larsen,LM,73,TSG Hoffenheim,Denmark,55,56,59,https://www.futbin.com/22/player/6831/jacob-bruun-larsen,FIFA Men's World Cup
Karim Onisiwo,ST,73,1. FSV Mainz 05,Austria,51,45,49,https://www.futbin.com/22/player/7118/karim-onisiwo,FIFA Men's World Cup
Timothy Fosu-Mensah,RB,73,Leverkusen,Netherlands,72,72,70,https://www.futbin.com/22/player/7668/timothy-fosu-mensah,FIFA Men's World Cup
László Bénes,CM,73,M'gladbach,Slovakia,44,37,49,https://www.futbin.com/22/player/8247/laszlo-benes,FIFA Men's World Cup
Panagiotis Retsos,CB,73,Leverkusen,Greece,75,72,75,https://www.futbin.com/22/player/8310/panagiotis-retsos,FIFA Men's World Cup
Salih Özcan,CM,73,1. FC Köln,Germany,69,69,68,https://www.futbin.com/22/player/8394/salih-ozcan,FIFA Men's World Cup
Dennis Geiger,CM,73,TSG Hoffenheim,Germany,55,62,63,https://www.futbin.com/22/player/8425/dennis-geiger,FIFA Men's World Cup
Aymen Barkok,CAM,73,Frankfurt,Morocco,55,47,53,https://www.futbin.com/22/player/8655/aymen-barkok,FIFA Men's World Cup
David Raum,LB,73,TSG Hoffenheim,Germany,64,59,68,https://www.futbin.com/22/player/8681/david-raum,FIFA Men's World Cup
Hannes Wolf,CAM,73,M'gladbach,Austria,36,25,38,https://www.futbin.com/22/player/8736/hannes-wolf,FIFA Men's World Cup
Jordan Torunarigha,CB,73,Hertha Berlin,Germany,75,73,75,https://www.futbin.com/22/player/8742/jordan-torunarigha,FIFA Men's World Cup
Masaya Okugawa,CAM,73,Bielefeld,Japan,38,45,39,https://www.futbin.com/22/player/9377/masaya-okugawa,FIFA Men's World Cup
Michaël Cuisance,CM,73,FC Bayern,France,53,49,48,https://www.futbin.com/22/player/9386/michael-cuisance,FIFA Men's World Cup
Paulo Henrique Sampaio Filho,CAM,73,Leverkusen,Brazil,36,29,41,https://www.futbin.com/22/player/9439/paulinho,FIFA Men's World Cup
Chris Führich,RM,73,VfB Stuttgart,Germany,54,56,43,https://www.futbin.com/22/player/9897/chris-fuhrich,FIFA Men's World Cup
Konstantinos Mavropanos,CB,73,VfB Stuttgart,Greece,74,72,75,https://www.futbin.com/22/player/9934/konstantinos-mavropanos,FIFA Men's World Cup
Florian Krüger,ST,73,Bielefeld,Germany,22,22,14,https://www.futbin.com/22/player/10788/florian-kruger,FIFA Men's World Cup
Odilon Kossounou,CB,73,Leverkusen,Côte d'Ivoire,73,72,71,https://www.futbin.com/22/player/11179/odilon-kossounou,FIFA Men's World Cup
Mateu Jaume Morey Bauzá,RB,73,Dortmund,Spain,68,69,75,https://www.futbin.com/22/player/11633/mateu-jaume-morey-bauza,FIFA Men's World Cup
Brian Brobbey,ST,73,RB Leipzig,Netherlands,30,28,26,https://www.futbin.com/22/player/11950/brian-brobbey,FIFA Men's World Cup
Jeremie Frimpong,RB,73,Leverkusen,Netherlands,64,65,58,https://www.futbin.com/22/player/12277/jeremie-frimpong,FIFA Men's World Cup
Ilaix Moriba,CM,73,RB Leipzig,Spain,64,59,66,https://www.futbin.com/22/player/13759/ilaix-moriba,FIFA Men's World Cup
William de Asevedo Furtado,RB,73,VfL Wolfsburg,Brazil,70,71,76,https://www.futbin.com/22/player/18011/william,FIFA Men's World Cup
Takuma Asano,RM,73,VfL Bochum,Japan,30,31,29,https://www.futbin.com/22/player/18072/takuma-asano,FIFA Men's World Cup
Joel Pohjanpalo,ST,73,Leverkusen,Finland,26,24,18,https://www.futbin.com/22/player/21630/joel-pohjanpalo,FIFA Men's World Cup
Nico Schlotterbeck,CB,73,SC Freiburg,Germany,82,80,81,https://www.futbin.com/22/player/22528/nico-schlotterbeck,FIFA Men's World Cup
Anthony Modeste,ST,73,1. FC Köln,France,49,60,23,https://www.futbin.com/22/player/22583/anthony-modeste,FIFA Men's World Cup
Andreas Linde,GK,73,Greuther Fürth,Sweden,16,18,22,https://www.futbin.com/22/player/23687/andreas-linde,FIFA Men's World Cup
Salih Özcan,CM,73,Dortmund,Germany,69,69,68,https://www.futbin.com/22/player/26330/salih-ozcan,FIFA Men's World Cup
Mitchell Weiser,RB,73,Leverkusen,Germany,68,67,71,https://www.futbin.com/22/player/26415/mitchell-weiser,FIFA Men's World Cup
Omar Alderete,CB,73,Hertha Berlin,Paraguay,73,70,73,https://www.futbin.com/22/player/26539/omar-alderete,FIFA Men's World Cup
Paul Seguin,CM,73,Union Berlin,Germany,68,69,69,https://www.futbin.com/22/player/26644/paul-seguin,FIFA Men's World Cup
Ronaël Pierre-Gabriel,RB,73,1. FSV Mainz 05,France,71,72,70,https://www.futbin.com/22/player/26645/ronael-pierre-gabriel,FIFA Men's World Cup
Janik Haberer,CM,73,Union Berlin,Germany,62,59,71,https://www.futbin.com/22/player/26648/janik-haberer,FIFA Men's World Cup
Aymen Barkok,CAM,73,1. FSV Mainz 05,Morocco,55,47,53,https://www.futbin.com/22/player/26649/aymen-barkok,FIFA Men's World Cup
Kevin Stöger,CM,73,VfL Bochum,Austria,41,38,49,https://www.futbin.com/22/player/26780/kevin-stoger,FIFA Men's World Cup
Anthony Modeste,ST,72,1. FC Köln,France,35,42,15,https://www.futbin.com/22/player/1707/anthony-modeste,FIFA Men's World Cup
Robert Tesche,CDM,72,VfL Bochum,Germany,71,70,73,https://www.futbin.com/22/player/1795/robert-tesche,FIFA Men's World Cup
Daniel Brosinski,RWB,72,1. FSV Mainz 05,Germany,68,73,67,https://www.futbin.com/22/player/2103/daniel-brosinski,FIFA Men's World Cup
Sascha Burchert,GK,72,Greuther Fürth,Germany,16,18,18,https://www.futbin.com/22/player/2106/sascha-burchert,FIFA Men's World Cup
Håvard Nielsen,ST,72,Greuther Fürth,Norway,42,43,43,https://www.futbin.com/22/player/2298/havard-nielsen,FIFA Men's World Cup
Cristian Gamboa,RB,72,VfL Bochum,Costa Rica,67,68,68,https://www.futbin.com/22/player/2852/cristian-gamboa,FIFA Men's World Cup
Anthony Losilla,CDM,72,VfL Bochum,France,70,70,71,https://www.futbin.com/22/player/2943/anthony-losilla,FIFA Men's World Cup
Michael Gregoritsch,ST,72,FC Augsburg,Austria,41,36,33,https://www.futbin.com/22/player/2961/michael-gregoritsch,FIFA Men's World Cup
Nicolas Höfler,CDM,72,SC Freiburg,Germany,70,70,75,https://www.futbin.com/22/player/3039/nicolas-hofler,FIFA Men's World Cup
Michael Esser,GK,72,VfL Bochum,Germany,21,20,30,https://www.futbin.com/22/player/3067/michael-esser,FIFA Men's World Cup
Konstantinos Stafylidis,LB,72,VfL Bochum,Greece,70,73,65,https://www.futbin.com/22/player/3318/konstantinos-stafylidis,FIFA Men's World Cup
Jeremy Dudziak,CAM,72,Greuther Fürth,Tunisia,65,64,68,https://www.futbin.com/22/player/3907/jeremy-dudziak,FIFA Men's World Cup
Lukas Kübler,RB,72,SC Freiburg,Germany,71,73,72,https://www.futbin.com/22/player/4077/lukas-kubler,FIFA Men's World Cup
Rafael Czichos,CB,72,1. FC Köln,Germany,72,70,71,https://www.futbin.com/22/player/4545/rafael-czichos,FIFA Men's World Cup
Andreas Voglsammer,LM,72,Union Berlin,Germany,38,39,31,https://www.futbin.com/22/player/4563/andreas-voglsammer,FIFA Men's World Cup
Levin Öztunalı,RM,72,Union Berlin,Germany,48,43,54,https://www.futbin.com/22/player/4778/levin-oztunal,FIFA Men's World Cup
Cédric Brunner,RB,72,Bielefeld,Switzerland,71,73,73,https://www.futbin.com/22/player/5153/cedric-brunner,FIFA Men's World Cup
Erik Thommy,LM,72,VfB Stuttgart,Germany,33,28,27,https://www.futbin.com/22/player/5799/erik-thommy,FIFA Men's World Cup
Carlos Gruezo,CDM,72,FC Augsburg,Ecuador,68,68,69,https://www.futbin.com/22/player/5822/carlos-gruezo,FIFA Men's World Cup
Sebastian Griesbeck,CDM,72,Greuther Fürth,Germany,73,75,71,https://www.futbin.com/22/player/5966/sebastian-griesbeck,FIFA Men's World Cup
Jorge Meré Pérez,CB,72,1. FC Köln,Spain,73,72,74,https://www.futbin.com/22/player/6050/jorge-mere-perez,FIFA Men's World Cup
Timo Baumgartl,CB,72,Union Berlin,Germany,72,72,71,https://www.futbin.com/22/player/6151/timo-baumgartl,FIFA Men's World Cup
Kingsley Ehizibue,RB,72,1. FC Köln,Nigeria,66,62,65,https://www.futbin.com/22/player/6567/kingsley-ehizibue,FIFA Men's World Cup
Grischa Prömel,CM,72,Union Berlin,Germany,71,67,72,https://www.futbin.com/22/player/7026/grischa-promel,FIFA Men's World Cup
Gerrit Holtmann,LM,72,VfL Bochum,Philippines,57,60,58,https://www.futbin.com/22/player/7030/gerrit-holtmann,FIFA Men's World Cup
Mijat Gaćinović,CAM,72,TSG Hoffenheim,Serbia,63,63,70,https://www.futbin.com/22/player/7341/mijat-gacinovic,FIFA Men's World Cup
Jannes Horn,LB,72,1. FC Köln,Germany,68,67,68,https://www.futbin.com/22/player/7591/jannes-horn,FIFA Men's World Cup
Janni Serra,ST,72,Bielefeld,Germany,37,35,23,https://www.futbin.com/22/player/7657/janni-serra,FIFA Men's World Cup
Maxim Leitsch,CB,72,VfL Bochum,Germany,73,74,73,https://www.futbin.com/22/player/8274/maxim-leitsch,FIFA Men's World Cup
Philipp Förster,CAM,72,VfB Stuttgart,Germany,59,65,58,https://www.futbin.com/22/player/8884/philipp-forster,FIFA Men's World Cup
Elvis Rexhbeçaj,CM,72,VfL Bochum,Kosovo,64,65,60,https://www.futbin.com/22/player/9483/elvis-rexhbecaj,FIFA Men's World Cup
Dejan Ljubicic,CDM,72,1. FC Köln,Austria,70,69,70,https://www.futbin.com/22/player/9654/dejan-ljubicic,FIFA Men's World Cup
Keven Schlotterbeck,CB,72,SC Freiburg,Germany,74,73,71,https://www.futbin.com/22/player/10488/keven-schlotterbeck,FIFA Men's World Cup
Adrian Fein,CDM,72,Greuther Fürth,Germany,67,63,66,https://www.futbin.com/22/player/10551/adrian-fein,FIFA Men's World Cup
Leandro Barreiro Martins,CM,72,1. FSV Mainz 05,Luxembourg,69,70,74,https://www.futbin.com/22/player/10797/leandro-barreiro-martins,FIFA Men's World Cup
Lucas Silva Melo,CB,72,Frankfurt,Brazil,72,72,72,https://www.futbin.com/22/player/11262/lucas-silva-melo,FIFA Men's World Cup
Nico Schlotterbeck,CB,72,SC Freiburg,Germany,73,71,72,https://www.futbin.com/22/player/11410/nico-schlotterbeck,FIFA Men's World Cup
Marco Meyerhöfer,RB,72,Greuther Fürth,Germany,67,67,69,https://www.futbin.com/22/player/11815/marco-meyerhofer,FIFA Men's World Cup
Kristijan Jakić,CDM,72,Frankfurt,Croatia,70,68,69,https://www.futbin.com/22/player/13424/kristijan-jakic,FIFA Men's World Cup
Fredrik Andre Bjørkan,LB,72,Hertha Berlin,Norway,67,68,68,https://www.futbin.com/22/player/22673/fredrik-andre-bjorkan,FIFA Men's World Cup
Jonas Wind,ST,72,VfL Wolfsburg,Denmark,35,35,34,https://www.futbin.com/22/player/24005/jonas-wind,FIFA Men's World Cup
Nico Schlotterbeck,CB,72,Dortmund,Germany,73,71,72,https://www.futbin.com/22/player/26336/nico-schlotterbeck,FIFA Men's World Cup
Adrian Fein,CDM,72,FC Bayern,Germany,67,63,66,https://www.futbin.com/22/player/26369/adrian-fein,FIFA Men's World Cup
Janis Blaswich,GK,72,RB Leipzig,Germany,14,10,19,https://www.futbin.com/22/player/26390/janis-blaswich,FIFA Men's World Cup
Grischa Prömel,CM,72,TSG Hoffenheim,Germany,71,67,72,https://www.futbin.com/22/player/26453/grischa-promel,FIFA Men's World Cup
Michael Gregoritsch,ST,72,SC Freiburg,Austria,41,36,33,https://www.futbin.com/22/player/26591/michael-gregoritsch,FIFA Men's World Cup
Kristian Pedersen,LB,72,1. FC Köln,Denmark,72,70,71,https://www.futbin.com/22/player/26611/kristian-pedersen,FIFA Men's World Cup
Jordan Siebatcheu,ST,72,Union Berlin,United States,29,27,28,https://www.futbin.com/22/player/26651/jordan-siebatcheu,FIFA Men's World Cup
Maxim Leitsch,CB,72,1. FSV Mainz 05,Germany,73,74,73,https://www.futbin.com/22/player/26654/maxim-leitsch,FIFA Men's World Cup
Danilho Doekhi,CB,72,Union Berlin,Netherlands,71,72,70,https://www.futbin.com/22/player/26657/danilho-doekhi,FIFA Men's World Cup
Oliver Hüsing,CB,72,Bielefeld,Germany,73,75,70,https://www.futbin.com/22/player/26744/oliver-husing,FIFA Men's World Cup
Philipp Förster,CAM,72,VfL Bochum,Germany,59,65,58,https://www.futbin.com/22/player/26786/philipp-forster,FIFA Men's World Cup
Philipp Hofmann,ST,72,VfL Bochum,Germany,34,26,23,https://www.futbin.com/22/player/26791/philipp-hofmann,FIFA Men's World Cup
Elvis Rexhbeçaj,CM,72,VfL Wolfsburg,Kosovo,64,65,60,https://www.futbin.com/22/player/27271/elvis-rexhbecaj,FIFA Men's World Cup
Philipp Tschauner,GK,71,RB Leipzig,Germany,18,20,9,https://www.futbin.com/22/player/1247/philipp-tschauner,FIFA Men's World Cup
Ádám Szalai,ST,71,1. FSV Mainz 05,Hungary,43,39,44,https://www.futbin.com/22/player/1873/adam-szalai,FIFA Men's World Cup
Marcel Schmelzer,LB,71,Dortmund,Germany,74,76,75,https://www.futbin.com/22/player/2083/marcel-schmelzer,FIFA Men's World Cup
Tomáš Koubek,GK,71,FC Augsburg,Czechia,13,14,11,https://www.futbin.com/22/player/3085/tomas-koubek,FIFA Men's World Cup
Paweł Wszołek,RM,71,Union Berlin,Poland,54,48,58,https://www.futbin.com/22/player/3512/pawe-wszoek,FIFA Men's World Cup
Danny Blum,RM,71,VfL Bochum,Germany,32,31,28,https://www.futbin.com/22/player/4128/danny-blum,FIFA Men's World Cup
Julian Green,CAM,71,Greuther Fürth,United States,33,29,28,https://www.futbin.com/22/player/4622/julian-green,FIFA Men's World Cup
Davie Selke,ST,71,Hertha Berlin,Germany,40,42,29,https://www.futbin.com/22/player/4702/davie-selke,FIFA Men's World Cup
Marcus Ingvartsen,CF,71,1. FSV Mainz 05,Denmark,36,33,25,https://www.futbin.com/22/player/5091/marcus-ingvartsen,FIFA Men's World Cup
Edimilson Fernandes,CM,71,Bielefeld,Switzerland,70,72,78,https://www.futbin.com/22/player/5140/edimilson-fernandes,FIFA Men's World Cup
Raphael Framberger,RB,71,FC Augsburg,Germany,69,70,67,https://www.futbin.com/22/player/5238/raphael-framberger,FIFA Men's World Cup
Alessandro Schöpf,CM,71,Bielefeld,Austria,63,68,65,https://www.futbin.com/22/player/5670/alessandro-schopf,FIFA Men's World Cup
Marvin Schwäbe,GK,71,1. FC Köln,Germany,18,21,17,https://www.futbin.com/22/player/6240/marvin-schwabe,FIFA Men's World Cup
Alexander Hack,CB,71,1. FSV Mainz 05,Germany,73,72,75,https://www.futbin.com/22/player/7444/alexander-hack,FIFA Men's World Cup
Cedric Itten,ST,71,Greuther Fürth,Switzerland,36,28,29,https://www.futbin.com/22/player/7922/cedric-itten,FIFA Men's World Cup
Robert Gumny,RB,71,FC Augsburg,Poland,67,69,68,https://www.futbin.com/22/player/7989/robert-gumny,FIFA Men's World Cup
Anderson Lucoqui,LB,71,1. FSV Mainz 05,Angola,68,68,66,https://www.futbin.com/22/player/8062/anderson-lucoqui,FIFA Men's World Cup
Myziane Maolida,LM,71,Hertha Berlin,France,24,21,24,https://www.futbin.com/22/player/8175/myziane-maolida,FIFA Men's World Cup
Timo Hübers,CB,71,1. FC Köln,Germany,72,72,74,https://www.futbin.com/22/player/8246/timo-hubers,FIFA Men's World Cup
Lucas Höler,ST,71,SC Freiburg,Germany,40,40,33,https://www.futbin.com/22/player/8281/lucas-holer,FIFA Men's World Cup
Fredrik Jensen,CAM,71,FC Augsburg,Finland,51,49,41,https://www.futbin.com/22/player/8284/fredrik-jensen,FIFA Men's World Cup
Eduard Löwen,CM,71,VfL Bochum,Germany,70,71,66,https://www.futbin.com/22/player/9022/eduard-lowen,FIFA Men's World Cup
Robin Hack,CAM,71,Bielefeld,Germany,33,33,29,https://www.futbin.com/22/player/9282/robin-hack,FIFA Men's World Cup
Jonathan Burkardt,ST,71,1. FSV Mainz 05,Germany,37,36,35,https://www.futbin.com/22/player/10538/jonathan-burkardt,FIFA Men's World Cup
Kevin Behrens,ST,71,Union Berlin,Germany,28,27,24,https://www.futbin.com/22/player/10652/kevin-behrens,FIFA Men's World Cup
Jesper Lindstrøm,CAM,71,Frankfurt,Denmark,46,41,40,https://www.futbin.com/22/player/10891/jesper-lindstrom,FIFA Men's World Cup
Armel Bella Kotchap,CB,71,VfL Bochum,Germany,71,68,73,https://www.futbin.com/22/player/11339/armel-bella-kotchap,FIFA Men's World Cup
Chris Richards,CB,71,TSG Hoffenheim,United States,71,65,69,https://www.futbin.com/22/player/11708/chris-richards,FIFA Men's World Cup
Tanguy Nianzou,CB,71,FC Bayern,France,71,70,69,https://www.futbin.com/22/player/12227/tanguy-nianzou,FIFA Men's World Cup
Reinier Jesus Carvalho,CF,71,Dortmund,Brazil,43,42,31,https://www.futbin.com/22/player/12576/reinier-jesus-carvalho,FIFA Men's World Cup
Jan Thielmann,RM,71,1. FC Köln,Germany,40,44,38,https://www.futbin.com/22/player/12603/jan-thielmann,FIFA Men's World Cup
Amine Adli,ST,71,Leverkusen,France,35,34,24,https://www.futbin.com/22/player/12743/amine-adli,FIFA Men's World Cup
Jürgen Locadia,ST,71,VfL Bochum,Netherlands,35,29,37,https://www.futbin.com/22/player/22737/jurgen-locadia,FIFA Men's World Cup
Karim Adeyemi,ST,71,Dortmund,Germany,24,18,23,https://www.futbin.com/22/player/26341/karim-adeyemi,FIFA Men's World Cup
Chris Richards,CB,71,FC Bayern,United States,71,65,69,https://www.futbin.com/22/player/26374/chris-richards,FIFA Men's World Cup
Jérôme Onguéné,CB,71,Frankfurt,Cameroon,71,70,70,https://www.futbin.com/22/player/26509/jerome-onguene,FIFA Men's World Cup
Josha Vagnoman,RB,71,VfB Stuttgart,Germany,66,65,65,https://www.futbin.com/22/player/26557/josha-vagnoman,FIFA Men's World Cup
Daniel-Kofi Kyereh,CAM,71,SC Freiburg,Germany,22,20,19,https://www.futbin.com/22/player/26597/daniel-kofi-kyereh,FIFA Men's World Cup
Edimilson Fernandes,CM,71,1. FSV Mainz 05,Switzerland,70,72,78,https://www.futbin.com/22/player/26659/edimilson-fernandes,FIFA Men's World Cup
Anthony Ujah,ST,70,Union Berlin,Nigeria,33,20,38,https://www.futbin.com/22/player/2853/anthony-ujah,FIFA Men's World Cup
Philipp Klement,CAM,70,VfB Stuttgart,Germany,40,37,56,https://www.futbin.com/22/player/3723/philipp-klement,FIFA Men's World Cup
Benjamin Uphoff,GK,70,SC Freiburg,Germany,12,13,12,https://www.futbin.com/22/player/3872/benjamin-uphoff,FIFA Men's World Cup
Joshua Brenet,LB,70,TSG Hoffenheim,Netherlands,67,65,67,https://www.futbin.com/22/player/4248/joshua-brenet,FIFA Men's World Cup
Sheraldo Becker,RW,70,Union Berlin,Suriname,31,21,33,https://www.futbin.com/22/player/6185/sheraldo-becker,FIFA Men's World Cup
Kasim Adams Nuhu,CB,70,TSG Hoffenheim,Ghana,67,62,65,https://www.futbin.com/22/player/6568/kasim-adams-nuhu,FIFA Men's World Cup
Reece Oxford,CB,70,FC Augsburg,England,71,72,68,https://www.futbin.com/22/player/6619/reece-oxford,FIFA Men's World Cup
Cedric Teuchert,ST,70,Union Berlin,Germany,35,35,40,https://www.futbin.com/22/player/6652/cedric-teuchert,FIFA Men's World Cup
Felix Passlack,RM,70,Dortmund,Germany,65,68,62,https://www.futbin.com/22/player/6929/felix-passlack,FIFA Men's World Cup
Lukas Klünter,CB,70,Hertha Berlin,Germany,71,70,70,https://www.futbin.com/22/player/7202/lukas-klunter,FIFA Men's World Cup
Pascal Stenzel,CB,70,VfB Stuttgart,Germany,72,72,73,https://www.futbin.com/22/player/7218/pascal-stenzel,FIFA Men's World Cup
Rick van Drongelen,CB,70,Union Berlin,Netherlands,69,68,66,https://www.futbin.com/22/player/7913/rick-van-drongelen,FIFA Men's World Cup
Oliver Christensen,GK,70,Hertha Berlin,Denmark,13,14,13,https://www.futbin.com/22/player/8694/oliver-christensen,FIFA Men's World Cup
Ajdin Hrustić,RM,70,Frankfurt,Australia,57,58,60,https://www.futbin.com/22/player/8910/ajdin-hrustic,FIFA Men's World Cup
Sebastian Vasiliadis,CM,70,Bielefeld,Greece,64,66,63,https://www.futbin.com/22/player/9124/sebastian-vasiliadis,FIFA Men's World Cup
Christopher Antwi-Adjej,LM,70,VfL Bochum,Ghana,26,27,23,https://www.futbin.com/22/player/9216/christopher-antwi-adjej,FIFA Men's World Cup
Atakan Karazor,CB,70,VfB Stuttgart,Germany,72,74,72,https://www.futbin.com/22/player/9224/atakan-karazor,FIFA Men's World Cup
Woo Yeong Jeong,RM,70,SC Freiburg,Korea Republic,35,34,30,https://www.futbin.com/22/player/9236/woo-yeong-jeong,FIFA Men's World Cup
Sergio Córdova,ST,70,FC Augsburg,Venezuela,24,20,18,https://www.futbin.com/22/player/9388/sergio-cordova,FIFA Men's World Cup
Jordan Beyer,RB,70,M'gladbach,Germany,70,69,66,https://www.futbin.com/22/player/10121/jordan-beyer,FIFA Men's World Cup
Finn Dahmen,GK,70,1. FSV Mainz 05,Germany,14,19,13,https://www.futbin.com/22/player/10164/finn-dahmen,FIFA Men's World Cup
Paul Jaeckel,CB,70,Union Berlin,Germany,72,71,69,https://www.futbin.com/22/player/10192/paul-jaeckel,FIFA Men's World Cup
Jurgen Ekkelenkamp,CAM,70,Hertha Berlin,Netherlands,61,62,57,https://www.futbin.com/22/player/10279/jurgen-ekkelenkamp,FIFA Men's World Cup
Noah Katterbach,LB,70,1. FC Köln,Germany,67,68,67,https://www.futbin.com/22/player/11107/noah-katterbach,FIFA Men's World Cup
Tanguy Coulibaly,RM,70,VfB Stuttgart,France,42,48,38,https://www.futbin.com/22/player/11844/tanguy-coulibaly,FIFA Men's World Cup
Fabian Kunze,CDM,70,Bielefeld,Germany,73,75,68,https://www.futbin.com/22/player/11853/fabian-kunze,FIFA Men's World Cup
Piero Hincapié,CB,70,Leverkusen,Ecuador,70,70,67,https://www.futbin.com/22/player/13030/piero-hincapie,FIFA Men's World Cup
Omar Marmoush,ST,70,VfB Stuttgart,Egypt,29,26,30,https://www.futbin.com/22/player/13115/omar-marmoush,FIFA Men's World Cup
Sven Michel,ST,70,Union Berlin,Germany,33,34,32,https://www.futbin.com/22/player/24055/sven-michel,FIFA Men's World Cup
Dong Jun Lee,RW,70,Hertha Berlin,Korea Republic,43,42,40,https://www.futbin.com/22/player/24266/dong-jun-lee,FIFA Men's World Cup
Julian Chabot,CB,70,1. FC Köln,Germany,70,69,70,https://www.futbin.com/22/player/24279/julian-chabot,FIFA Men's World Cup
Alexander Meyer,GK,70,Dortmund,Germany,13,20,8,https://www.futbin.com/22/player/26347/alexander-meyer,FIFA Men's World Cup
Ivan Šunjic,CDM,70,Hertha Berlin,Croatia,70,68,68,https://www.futbin.com/22/player/26543/ivan-sunjic,FIFA Men's World Cup
Dimitris Limnios,RW,70,1. FC Köln,Greece,39,43,26,https://www.futbin.com/22/player/26617/dimitris-limnios,FIFA Men's World Cup
Linton Maina,RM,70,1. FC Köln,Germany,25,26,19,https://www.futbin.com/22/player/26621/linton-maina,FIFA Men's World Cup
Omar Marmoush,ST,70,VfL Wolfsburg,Egypt,29,26,30,https://www.futbin.com/22/player/27275/omar-marmoush,FIFA Men's World Cup
Jan Morávek,CM,69,FC Augsburg,Czechia,55,49,60,https://www.futbin.com/22/player/1752/jan-moravek,FIFA Men's World Cup
